"","MW","H.Bond.Donors","H.Bond.Acceptors","logP","AM1_HOMO","AM1_LUMO","mutagenic","most_basic_pKa"
"2",1,1,1,0,"0","1","0","0"
"3",0,1,1,0,"0","0","0","1"
"4",1,1,1,1,"0","0","0","1"
"5",1,0,1,1,"0","0","1","0"
"7",1,1,1,1,"1","1","0","0"
"10",1,1,1,1,"0","0","0","0"
"12",1,1,1,1,"0","0","0","0"
"14",1,1,1,1,"0","1","0","0"
"15",1,1,1,1,"0","1","0","0"
"17",1,1,1,0,"0","1","1","1"
"19",1,1,1,1,"0","1","0","1"
"21",1,1,1,1,"1","1","0","0"
"22",1,1,1,1,"0","1","0","0"
"23",1,1,1,1,"1","1","0","1"
"25",1,1,1,1,"1","0","1","1"
"28",1,1,1,0,"0","0","0","1"
"32",1,1,1,1,"1","0","0","0"
"33",1,1,1,1,"1","0","0","0"
"34",1,1,1,1,"0","0","0","1"
"35",1,1,1,1,"1","1","1","1"
"37",1,1,1,1,"0","0","1","0"
"39",1,1,1,1,"1","0","0","0"
"42",1,1,1,1,"0","1","0","0"
"43",1,1,1,1,"0","1","0","1"
"45",1,1,1,1,"0","1","0","1"
"46",1,1,1,1,"0","0","0","0"
"47",1,1,1,1,"1","1","0","1"
"51",1,1,1,1,"0","1","0","0"
"52",1,0,1,1,"0","1","0","0"
"55",1,1,1,1,"0","0","0","0"
"56",1,1,1,1,"1","1","0","1"
"57",1,0,1,1,"0","0","0","0"
"60",1,1,1,1,"1","0","0","0"
"61",1,1,1,0,"0","0","0","1"
"62",1,1,1,1,"1","1","0","0"
"64",1,1,1,1,"0","1","0","0"
"65",1,1,1,1,"1","1","0","1"
"66",0,0,0,1,"0","1","0","0"
"68",1,0,1,1,"0","0","0","0"
"71",0,1,1,1,"0","0","0","0"
"73",1,1,1,1,"1","1","1","1"
"74",1,1,1,1,"0","1","0","0"
"76",1,1,1,1,"0","0","0","1"
"78",1,1,1,1,"1","1","0","1"
"80",1,1,1,1,"0","1","0","0"
"81",1,0,1,1,"1","0","0","0"
"83",1,1,1,1,"0","1","0","1"
"85",1,1,1,1,"1","0","1","1"
"86",1,1,1,1,"0","0","0","1"
"88",1,1,1,1,"0","0","0","1"
"89",1,1,1,1,"0","0","0","1"
"90",1,1,1,0,"0","0","0","0"
"91",1,1,1,1,"0","0","0","1"
"93",1,1,1,1,"1","0","1","1"
"94",1,1,1,1,"0","0","1","0"
"95",1,1,1,1,"1","1","0","1"
"98",1,1,1,1,"1","0","0","1"
"102",1,1,1,1,"0","0","0","1"
"104",1,1,1,1,"1","0","0","1"
"105",1,1,1,1,"1","1","0","0"
"107",1,1,1,1,"1","0","0","1"
"108",1,1,1,1,"0","1","0","1"
"110",1,0,1,1,"1","1","0","0"
"111",1,1,1,1,"0","1","0","0"
"112",1,0,1,1,"0","0","0","0"
"114",1,1,1,1,"1","1","1","1"
"116",1,1,1,1,"1","1","0","1"
"117",1,1,1,1,"1","1","1","1"
"120",1,1,1,1,"1","1","0","0"
"122",1,1,1,1,"1","1","0","1"
"123",1,1,1,1,"1","0","0","1"
"124",1,1,1,1,"1","0","0","1"
"127",1,1,1,1,"0","0","0","1"
"129",1,1,1,1,"1","0","0","0"
"130",1,1,1,1,"0","0","0","1"
"132",1,1,1,0,"0","0","1","0"
"133",1,1,1,1,"1","1","0","0"
"134",1,0,0,1,"1","0","1","1"
"136",1,1,1,1,"0","0","0","1"
"138",1,0,1,1,"1","1","0","0"
"139",0,1,1,1,"1","0","0","1"
"142",1,1,1,1,"1","1","0","0"
"143",1,1,1,1,"1","0","0","1"
"144",1,1,1,1,"1","0","0","0"
"146",1,1,1,1,"0","0","1","1"
