"","X__1","A","B","C","D","X"
"1","DB00014",0,0,0,1,0
"2","DB00035",0,1,0,0,0
"3","DB00050",0,0,0,0,1
"4","DB00091",0,0,1,0,0
"5","DB00104",0,1,0,0,0
"6","DB00106",0,0,0,0,1
"7","DB00115",1,0,0,0,0
"8","DB00122",0,0,1,0,0
"9","DB00123",0,0,1,0,0
"10","DB00126",1,0,0,0,0
"11","DB00136",1,0,0,0,0
"12","DB00140",1,0,0,0,0
"13","DB00152",1,0,0,0,0
"14","DB00153",0,0,1,0,0
"15","DB00158",1,0,0,0,0
"16","DB00162",0,0,1,0,0
"17","DB00163",0,0,1,0,0
"18","DB00165",1,0,0,0,0
"19","DB00168",0,1,0,0,0
"20","DB00169",1,0,0,0,0
"21","DB00175",0,0,0,0,1
"22","DB00176",0,0,1,0,0
"23","DB00177",0,0,0,1,0
"24","DB00178",0,0,0,1,0
"25","DB00179",0,1,0,0,0
"26","DB00180",0,0,1,0,0
"27","DB00181",0,0,1,0,0
"28","DB00182",0,0,1,0,0
"29","DB00184",0,0,1,0,0
"30","DB00185",0,0,1,0,0
"31","DB00186",0,0,0,1,0
"32","DB00189",0,0,1,0,0
"33","DB00191",0,0,1,0,0
"34","DB00193",0,0,1,0,0
"35","DB00195",0,0,1,0,0
"36","DB00196",0,0,1,0,0
"37","DB00197",0,1,0,0,0
"38","DB00198",0,0,1,0,0
"39","DB00199",0,1,0,0,0
"40","DB00201",0,0,1,0,0
"41","DB00203",0,1,0,0,0
"42","DB00204",0,0,1,0,0
"43","DB00205",0,0,1,0,0
"44","DB00206",0,0,1,0,0
"45","DB00207",0,1,0,0,0
"46","DB00208",0,1,0,0,0
"47","DB00210",0,0,1,0,0
"48","DB00215",0,0,1,0,0
"49","DB00220",0,1,0,0,0
"50","DB00221",0,0,1,0,0
"51","DB00222",0,0,1,0,0
"52","DB00224",0,0,1,0,0
"53","DB00227",0,0,0,0,1
"54","DB00231",0,0,0,0,1
"55","DB00238",0,0,1,0,0
"56","DB00241",0,0,1,0,0
"57","DB00244",0,1,0,0,0
"58","DB00245",0,0,1,0,0
"59","DB00248",0,1,0,0,0
"60","DB00249",0,0,1,0,0
