Primary_Accession_No,Generic_Name,Target_Num,Entry_Num,preg_risk_cat,pfam_id
DB00013,Urokinase,10,1,C,PF00096
DB00013,Urokinase,11,1,C,PF00008
DB00013,Urokinase,11,2,C,PF00057
DB00013,Urokinase,11,3,C,PF00058
DB00013,Urokinase,11,4,C,PF07645
DB00013,Urokinase,11,5,C,PF07974
DB00013,Urokinase,12,1,C,PF00057
DB00013,Urokinase,12,2,C,PF00089
DB00013,Urokinase,12,3,C,PF00431
DB00013,Urokinase,12,4,C,PF01390
DB00013,Urokinase,1,1,C,PF00021
DB00013,Urokinase,2,1,C,PF00024
DB00013,Urokinase,2,2,C,PF00051
DB00013,Urokinase,2,3,C,PF00089
DB00013,Urokinase,3,1,C,PF00051
DB00013,Urokinase,3,2,C,PF00089
DB00013,Urokinase,4,1,C,PF00008
DB00013,Urokinase,4,2,C,PF00039
DB00013,Urokinase,4,3,C,PF00051
DB00013,Urokinase,4,4,C,PF00089
DB00013,Urokinase,5,1,C,PF00045
DB00013,Urokinase,5,2,C,PF01033
DB00013,Urokinase,6,1,C,PF00079
DB00013,Urokinase,7,1,C,PF00079
DB00013,Urokinase,8,1,C,PF00079
DB00013,Urokinase,9,1,C,PF00008
DB00013,Urokinase,9,2,C,PF00058
DB00013,Urokinase,9,3,C,PF00086
DB00013,Urokinase,9,4,C,PF06119
DB00013,Urokinase,9,5,C,PF07474
DB00013,Urokinase,9,6,C,PF07645
DB00636,Clofibrate,1,1,C,PF01477
DB00636,Clofibrate,2,1,C,PF00104
DB00636,Clofibrate,2,2,C,PF00105
DB00982,Isotretinoin,1,1,X,PF00104
DB00982,Isotretinoin,1,2,X,PF00105
DB01193,Acebutolol,1,1,B,PF00001
DB00759,Tetracycline,1,1,D,PF00163
DB00759,Tetracycline,1,2,D,PF01479
DB00759,Tetracycline,2,1,D,PF00380
DB00759,Tetracycline,4,1,D,PF00377
DB00759,Tetracycline,4,2,D,PF03991
DB00501,Cimetidine,1,1,B,PF00001
DB00501,Cimetidine,2,1,B,PF07690
DB00581,Lactulose,1,1,B,PF00703
DB00581,Lactulose,1,2,B,PF02836
DB00581,Lactulose,1,3,B,PF02837
DB00581,Lactulose,1,4,B,PF02929
DB01129,Rabeprazole,1,1,B,PF00287
DB01129,Rabeprazole,2,1,B,PF00122
DB01129,Rabeprazole,2,2,B,PF00689
DB01129,Rabeprazole,2,3,B,PF00690
DB01129,Rabeprazole,2,4,B,PF00702
DB00755,Tretinoin,1,1,C,PF00104
DB00755,Tretinoin,1,2,C,PF00105
DB00755,Tretinoin,2,1,C,PF00104
DB00755,Tretinoin,2,2,C,PF00105
DB00755,Tretinoin,3,1,C,PF00171
DB00755,Tretinoin,4,1,C,PF00104
DB00755,Tretinoin,4,2,C,PF00105
DB00755,Tretinoin,5,1,C,PF00003
DB00755,Tretinoin,6,1,C,PF00104
DB00755,Tretinoin,6,2,C,PF00105
DB00755,Tretinoin,7,1,C,PF00104
DB00755,Tretinoin,8,1,C,PF00171
DB00755,Tretinoin,9,1,C,PF06907
DB01050,Ibuprofen,1,1,C,PF00008
DB01050,Ibuprofen,1,2,C,PF03098
DB01050,Ibuprofen,2,1,C,PF00008
DB01050,Ibuprofen,2,2,C,PF03098
DB01050,Ibuprofen,3,1,C,PF00273
DB00813,Fentanyl,1,1,C,PF00001
DB00813,Fentanyl,2,1,C,PF00001
DB00884,Risedronate,1,1,C,PF00348
DB01132,Pioglitazone,1,1,C,PF00104
DB01132,Pioglitazone,1,2,C,PF00105
DB01009,Ketoprofen,1,1,B,PF00008
DB01009,Ketoprofen,1,2,B,PF03098
DB01009,Ketoprofen,2,1,B,PF00008
DB01009,Ketoprofen,2,2,B,PF03098
